         15830 function calls (15730 primitive calls) in 1.056 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\requests\models.py:351(prepare)
      375    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1356(add_cookie_header)
       54    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:164(hostname)
      171    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        6    0.000    0.000    0.001    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\email\parser.py:41(parse)
        6    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\http\client.py:213(_read_headers)
        6    0.000    0.000    0.001    0.000 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\requests\utils.py:765(should_bypass_proxies)
        6    0.000    0.000    0.001    0.000 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\urllib3\poolmanager.py:229(_new_pool)
       12    0.000    0.000    0.000    0.000 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\urllib3\util\retry.py:202(__init__)
       54    0.000    0.000    0.000    0.000 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\urllib3\_collections.py:259(__getitem__)
       60    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:205(_hostinfo)
